;Row_ID;Division;Size;Fraction_hue;Fraction_grouped_hue
division_1_size_bulk;1;1;bulk;$> 0$;$d > 5$
division_1_size_5;2;1;5;$< 5$;$2 < d \leq 5$
division_1_size_3;3;1;3;$< 3$;$2 < d \leq 5$
division_1_size_2.5;4;1;2.5;$< 2.5$;$2 < d \leq 5$
division_1_size_2;5;1;2;$< 2$;$0< d \leq 2$
division_1_size_0.4;6;1;0.4;$< 0.4$;$0< d \leq 2$
division_1_size_0.2;7;1;0.2;$< 0.2$;$0< d \leq 2$
division_2_size_bulk;8;2;bulk;$> 0$;$d > 5$
division_2_size_5;9;2;5;$< 5$;$2 < d \leq 5$
division_2_size_3;10;2;3;$< 3$;$2 < d \leq 5$
division_2_size_2.5;11;2;2.5;$< 2.5$;$2 < d \leq 5$
division_2_size_2;12;2;2;$< 2$;$0< d \leq 2$
division_2_size_0.4;13;2;0.4;$< 0.4$;$0< d \leq 2$
division_2_size_0.2;14;2;0.2;$< 0.2$;$0< d \leq 2$
division_5_size_bulk;15;5;bulk;$> 0$;$d > 5$
division_5_size_75;16;5;75;$< 75$;$d > 5$
division_5_size_25;17;5;25;$< 25$;$d > 5$
division_5_size_5;18;5;5;$< 5$;$2 < d \leq 5$
division_5_size_3;19;5;3;$< 3$;$2 < d \leq 5$
division_6_size_bulk;20;6;bulk;$> 0$;$d > 5$
division_6_size_75;21;6;75;$< 75$;$d > 5$
division_6_size_25;22;6;25;$< 25$;$d > 5$
division_6_size_5;23;6;5;$< 5$;$2 < d \leq 5$
division_6_size_3;24;6;3;$< 3$;$2 < d \leq 5$
division_7_size_bulk;25;7;bulk;$> 0$;$d > 5$
division_7_size_75;26;7;75;$< 75$;$d > 5$
division_7_size_25;27;7;25;$< 25$;$d > 5$
division_7_size_5;28;7;5;$< 5$;$2 < d \leq 5$
division_7_size_3;29;7;3;$< 3$;$2 < d \leq 5$
division_7_size_2.5;30;7;2.5;$< 2.5$;$2 < d \leq 5$
division_7_size_2;31;7;2;$< 2$;$0< d \leq 2$
division_7_size_0.4;32;7;0.4;$< 0.4$;$0< d \leq 2$
division_8_size_bulk;33;8;bulk;$> 0$;$d > 5$
division_8_size_70;34;8;70;$< 70$;$d > 5$
division_8_size_25;35;8;25;$< 25$;$d > 5$
division_8_size_5;36;8;5;$< 5$;$2 < d \leq 5$
division_8_size_3;37;8;3;$< 3$;$2 < d \leq 5$
division_8_size_2.5;38;8;2.5;$< 2.5$;$2 < d \leq 5$
division_8_size_2;39;8;2;$< 2$;$0< d \leq 2$
division_8_size_0.4;40;8;0.4;$< 0.4$;$0< d \leq 2$
division_8_size_0.2;41;8;0.2;$< 0.2$;$0< d \leq 2$
division_9_size_bulk;42;9;bulk;$> 0$;$d > 5$
division_9_size_70;43;9;70;$< 70$;$d > 5$
division_9_size_25;44;9;25;$< 25$;$d > 5$
division_9_size_5;45;9;5;$< 5$;$2 < d \leq 5$
division_9_size_3;46;9;3;$< 3$;$2 < d \leq 5$
division_9_size_2.5;47;9;2.5;$< 2.5$;$2 < d \leq 5$
division_9_size_2;48;9;2;$< 2$;$0< d \leq 2$
division_9_size_0.4;49;9;0.4;$< 0.4$;$0< d \leq 2$
division_9_size_0.2;50;9;0.2;$< 0.2$;$0< d \leq 2$
division_10_size_bulk;51;10;bulk;$> 0$;$d > 5$
division_10_size_70;52;10;70;$< 70$;$d > 5$
division_10_size_50;53;10;50;$< 50$;$d > 5$
division_10_size_25;54;10;25;$< 25$;$d > 5$
division_10_size_5;55;10;5;$< 5$;$2 < d \leq 5$
division_10_size_4;56;10;4;$< 4$;$2 < d \leq 5$
division_10_size_3;57;10;3;$< 3$;$2 < d \leq 5$
division_10_size_2.5;58;10;2.5;$< 2.5$;$2 < d \leq 5$
division_10_size_2;59;10;2;$< 2$;$0< d \leq 2$
division_10_size_0.4;60;10;0.4;$< 0.4$;$0< d \leq 2$
division_10_size_0.2;61;10;0.2;$< 0.2$;$0< d \leq 2$
