;$I_{874}$;$I_{1084}$;$I_{1182}$;$I_{1241}$;$I_{1393}$;$I_{1541}$;$I_{1625}$;$I_{1725}$;$\overline{I}_{1900\text{–}800}$;$\Sigma I_{p,\ 1900\text{–}800}$;$\overline{I}_{1900\text{–}1500}$;$\Sigma I_{p,\ 1900\text{–}1500}$;$\overline{I}_{1500\text{–}1300}$;$\Sigma I_{p,\ 1500\text{–}1300}$;$\overline{I}_{1300\text{–}800}$;$\Sigma I_{p,\ 1300\text{–}800}$;$\overline{I}_{874 \pm 16}$;$\overline{I}_{874 \pm 32}$;$\overline{I}_{1084 \pm 16}$;$\overline{I}_{1084 \pm 32}$;$\overline{I}_{1182 \pm 16}$;$\overline{I}_{1182 \pm 32}$;$\overline{I}_{1241 \pm 16}$;$\overline{I}_{1241 \pm 32}$;$\overline{I}_{1393 \pm 16}$;$\overline{I}_{1393 \pm 32}$;$\overline{I}_{1541 \pm 16}$;$\overline{I}_{1541 \pm 32}$;$\overline{I}_{1625 \pm 16}$;$\overline{I}_{1625 \pm 32}$;$\overline{I}_{1725 \pm 16}$;$\overline{I}_{1725 \pm 32}$;Split;Fraction_hue;Fraction_grouped_hue;Class
division_1_size_bulk;0.0484931040770501;0.6812942842454955;0.388922615305583;0.4550663895350382;0.7605815648522336;0.3676721511754877;1.0;0.4232726712346966;0.42416170100244527;4.125302780425585;0.4266192562191284;1.7909448224101843;0.5717349237312612;0.7605815648522336;0.3633379196541058;1.5737763931631668;0.04726506782209267;0.04801427245638986;0.6624956316229997;0.6570816857917118;0.39250939200415874;0.4058135232771022;0.452148771326077;0.4462698507179379;0.7503926130619282;0.7283368282160128;0.37502019553996674;0.39830022119496317;0.9773446540428932;0.9260839830345305;0.41974156291519354;0.4158106130814541;Train;$> 0$;$d > 5$;2
division_1_size_5;0.0922966587588415;0.578198540320213;0.4165930745253988;0.4279879839524714;0.6874582996441091;0.2974956238221211;1.0;0.3844746621504596;0.37873042414542096;3.8845048431736147;0.3780036871918961;1.6819702859725807;0.5023682762038904;0.6874582996441091;0.3299993267650941;1.5150762575569248;0.0927905609607705;0.09442496430283866;0.5741901635527438;0.5619487747990167;0.42000039865218347;0.43103027571560215;0.4267289116411799;0.4242086189836148;0.6786393281008877;0.6576261359279286;0.3058439126677927;0.33123211227471394;0.9784447878935892;0.9233866531182713;0.38108860284881607;0.3761490717161362;Test;$< 5$;$2 < d \leq 5$;1
division_1_size_3;0.1124163544135008;0.8361756136769956;0.5143666988894473;0.4009501365006771;0.6965534243649516;0.4611560674445885;1.0;0.3687526304151485;0.4362657970895017;4.390370925705309;0.4293617864844332;1.829908697859737;0.5235127037362757;0.6965534243649516;0.40698844588568933;1.8639088034806208;0.11273327743275534;0.11557891168628025;0.7763689935423118;0.7659835714642039;0.5184424497237248;0.532188252705593;0.40084802310487483;0.40262982967237154;0.6883156150820346;0.6681910671746886;0.4668810606516961;0.4840951651179171;0.9806019142897179;0.9393389241381349;0.3678135984614641;0.3710033085240098;Train;$< 3$;$2 < d \leq 5$;1
division_1_size_2.5;0.1139648046832284;0.6425763781276795;0.4066648119062365;0.4161177098623664;0.8012994748133335;0.8427567900029013;1.0;0.543270175923836;0.5259712136900073;4.7666501453195815;0.6474575720883868;2.3860269659267375;0.6765318314210785;0.8012994748133335;0.3687787539488528;1.5793237045795108;0.10903799157388948;0.10746928935068147;0.6121939223099452;0.6124885523914342;0.4087192904887716;0.4188791669510185;0.41420597840213563;0.41256946919709636;0.7894550668556538;0.7769502179565236;0.8353957456227696;0.818228877977739;0.9605290564648461;0.9538586358151617;0.5469260700606936;0.5621464621547932;Train;$< 2.5$;$2 < d \leq 5$;1
division_1_size_2;0.0531767106989954;0.5924463771233945;0.3579600953002187;0.3651232526022175;0.7460280809035063;0.7931864883089574;1.0;0.5057756767977726;0.4837465511935755;4.413696681735062;0.6188351617642966;2.29896216510673;0.620859405827844;0.7460280809035063;0.32104109012200766;1.3687064357248262;0.05166589649261097;0.053752758151135636;0.576901779380013;0.5733168044008349;0.36135843298896264;0.3711509806685469;0.3643213998371441;0.36364031701224125;0.7372662718645643;0.7233534951802469;0.7836743968297016;0.7635604307958977;0.9163080459207753;0.9109880921266098;0.5114459412787409;0.5329989649513788;Train;$< 2$;$d \leq 2$;0
division_1_size_0.4;0.0231288274566294;0.6155492179012886;0.3701385547398406;0.3450149560357997;0.6512260344953517;0.7255547081259642;1.0;0.3836198274302672;0.4034570210718484;4.114232126185142;0.4650384945631336;2.1091745355562317;0.5233346310917918;0.6512260344953517;0.3064031159215371;1.3538315561335583;0.02411902374962689;0.030148473218443026;0.5864844827180918;0.5788647295379457;0.371344985539708;0.37642651517214093;0.34860313242009044;0.35497615992111153;0.6439527114920882;0.627283853328219;0.7114529977952458;0.6793005111062259;0.8722819982883759;0.8532428248545251;0.38718212843306704;0.40388009920828166;Train;$< 0.4$;$d \leq 2$;0
division_1_size_0.2;0.0338329367673486;0.6778440031667329;0.4029790042436999;0.3616020504112256;1.0;0.6209592847213438;0.9713160043812308;0.3988312475016827;0.4611390531672786;4.467364531193264;0.47852150495868967;1.9911065366042573;0.7436130913452931;1.0;0.3345767344846482;1.4762579945890069;0.03538571316859045;0.04230689982723664;0.6081715348254579;0.6066586456915318;0.40643503065230635;0.42099092508939334;0.36005647632925253;0.35842027459538167;0.9865679860793757;0.9614299643635548;0.6213681111401576;0.6291798741087157;0.9520119704447204;0.9346454076225592;0.40200798253976333;0.41360017561993423;Train;$< 0.2$;$d \leq 2$;0
division_2_size_bulk;0.05188291997588;1.0;0.5804125874368051;0.665126365274654;0.8977538280390738;0.3303766923686759;0.8802664257285636;0.4587027082846149;0.4801726524897053;4.864521527108267;0.3649765959633259;1.6693458263818544;0.6911462801483138;0.8977538280390738;0.4881395552510048;2.297421872687339;0.05390984602823289;0.0589736572680014;0.9726882452845492;0.940942659738455;0.5854831563945435;0.59947278040148;0.661917686583657;0.6540824505754733;0.8883711344966732;0.8688983321081865;0.3398242969206064;0.367784505445832;0.8239479387543022;0.788924978162348;0.4503963869597599;0.42985962233954755;Train;$> 0$;$d > 5$;2
division_2_size_5;0.2845237625399059;1.0;0.6788813950820154;0.7388851557664469;0.8921187411519494;0.4422539014574558;0.9593949118516434;0.4384961288948829;0.5497351535602161;5.4345539967443;0.40475723825846954;1.840144942203982;0.7053634485058852;0.8921187411519494;0.6035902167518737;2.7022903133883682;0.2862514817706832;0.28889841946922956;0.98358679176192;0.9576665380332525;0.683129597343333;0.6938043517808244;0.7352310197825517;0.7277320728152119;0.8791828585154263;0.8602448415767352;0.45060483801786455;0.4744125783855652;0.9151024548348349;0.8788646293863885;0.4327538467250372;0.4192155799666638;Test;$< 5$;$2 < d \leq 5$;1
division_2_size_3;0.4921285571605004;1.0;0.7147454113141586;0.5523660908630594;0.6328835140503941;0.4390121651166251;0.6537227108518787;0.3489195081752185;0.5128106302307537;4.833777957531836;0.3258201115943707;1.4416543841437224;0.5301362444466734;0.6328835140503941;0.6554207710619745;2.7592400593377184;0.4950322370327208;0.5006305740230935;0.9894481210080237;0.9648551320111531;0.7143960676500755;0.7138236312946741;0.5534950136298639;0.5573155239955337;0.6256131897336692;0.6142801421616544;0.4377670639162628;0.4412361434268715;0.6439257045060408;0.6250352200157074;0.3453522437837296;0.34066858496971736;Test;$< 3$;$2 < d \leq 5$;1
