;$I_{2928}$;$I_{3351}$;$I_{3725}$;$\overline{I}_{3800\text{–}2500}$;$\Sigma I_{p,\ 3800\text{–}2500}$;$\overline{I}_{2928 \pm 32}$;$\overline{I}_{3351 \pm 32}$;$\overline{I}_{3725 \pm 32}$;$\log I_{2928}$;$(I_{2928})^{-1}$;$\log I_{3351}$;$(I_{3351})^{-1}$;$\log I_{3725}$;$(I_{3725})^{-1}$;$\log \overline{I}_{3800\text{–}2500}$;$(\overline{I}_{3800\text{–}2500})^{-1}$;$\log \Sigma I_{p,\ 3800\text{–}2500}$;$(\Sigma I_{p,\ 3800\text{–}2500})^{-1}$;$\log \overline{I}_{2928 \pm 32}$;$(\overline{I}_{2928 \pm 32})^{-1}$;$\log \overline{I}_{3351 \pm 32}$;$(\overline{I}_{3351 \pm 32})^{-1}$;$\log \overline{I}_{3725 \pm 32}$;$(\overline{I}_{3725 \pm 32})^{-1}$;$\frac{I_{2928}}{I_{3351}}$;$\frac{I_{2928}}{I_{3725}}$;$\frac{I_{2928}}{\overline{I}_{3800\text{–}2500}}$;$\frac{I_{2928}}{\Sigma I_{p,\ 3800\text{–}2500}}$;$\frac{I_{2928}}{\overline{I}_{3351 \pm 32}}$;$\frac{I_{2928}}{\overline{I}_{3725 \pm 32}}$;$\frac{I_{3351}}{I_{3725}}$;$\frac{I_{3351}}{\overline{I}_{3800\text{–}2500}}$;$\frac{I_{3351}}{\Sigma I_{p,\ 3800\text{–}2500}}$;$\frac{I_{3351}}{\overline{I}_{2928 \pm 32}}$;$\frac{I_{3351}}{\overline{I}_{3725 \pm 32}}$;$\frac{I_{3725}}{\overline{I}_{3800\text{–}2500}}$;$\frac{I_{3725}}{\Sigma I_{p,\ 3800\text{–}2500}}$;$\frac{I_{3725}}{\overline{I}_{2928 \pm 32}}$;$\frac{I_{3725}}{\overline{I}_{3351 \pm 32}}$;$\frac{\overline{I}_{3800\text{–}2500}}{\overline{I}_{2928 \pm 32}}$;$\frac{\overline{I}_{3800\text{–}2500}}{\overline{I}_{3351 \pm 32}}$;$\frac{\overline{I}_{3800\text{–}2500}}{\overline{I}_{3725 \pm 32}}$;$\frac{\overline{I}_{2928 \pm 32}}{\overline{I}_{3351 \pm 32}}$;$\frac{\overline{I}_{2928 \pm 32}}{\overline{I}_{3725 \pm 32}}$;$\frac{\overline{I}_{3351 \pm 32}}{\overline{I}_{3725 \pm 32}}$;Split;Fraction_hue;Fraction_grouped_hue;Class
division_1_size_bulk;0.4917195724711886;1.0;0.0889566624490072;0.5262011624290981;1.5806762349201957;0.4920785408851464;0.9924191078733148;0.0804735312541613;-0.7098466996391858;2.0336794709521007;0.0;1.0;-2.4196059666183825;11.241428943821177;-0.6420717012770961;1.900413893773454;0.45785275225931077;0.6326406242518648;-0.7091169392848711;2.0321959136872927;-0.007609773144576077;1.0076388010534487;-2.519826952921737;12.426446117316242;0.4917195724711886;5.527630634220994;0.9344707073645896;0.31108177728503283;0.4954757204593828;6.110326772143004;11.241428943821177;1.900413893773454;0.6326406242518648;2.0321959136872927;12.426446117316242;0.16905447726180856;0.05627759846310234;0.18077736592413227;0.08963618469583395;1.0693438520659166;0.5302207084229874;6.538810391794359;0.49583743096163935;6.114787473796869;12.332242569782801;Train;$> 0$;$d > 5$;2
division_1_size_5;0.4069366353059991;1.0;0.0285251930811068;0.4779091772099712;1.435461828387106;0.4011353479470584;0.9854159503668162;0.0295805730808979;-0.899097792868901;2.4573850404204634;0.0;1.0;-3.5569676144188063;35.056730278973426;-0.7383345703809573;2.092447786497823;0.3614866290635397;0.6966399107412047;-0.913456382572157;2.492924159184245;-0.014691442310750367;1.0147998919925691;-3.520637447955516;33.805971144141395;0.4069366353059991;14.265867864555386;0.8514936617909096;0.2834883012968974;0.41295925355634744;13.756888150648596;35.056730278973426;2.092447786497823;0.6966399107412047;2.492924159184245;33.805971144141395;0.05968747712198493;0.019871787961897872;0.0711111429772864;0.028947362857774363;1.1913913337626016;0.48498218141493643;16.15618385428064;0.40707210777107655;13.560769997593374;33.31294318307725;Test;$< 5$;$2 < d \leq 5$;1
division_1_size_3;0.6184449341652019;1.0;0.0792332099957395;0.5357889560004412;1.6976781441609414;0.5989297636536034;0.9894238936545234;0.0707298862245932;-0.4805471223739017;1.6169588345805341;0.0;1.0;-2.535359749923011;12.620970424570348;-0.6240149342519586;1.8664065184635432;0.5292615199581808;0.5890398032391698;-0.5126109437457114;1.6696448576871181;-0.010632430839411698;1.010689155996034;-2.648887076523215;14.138295045811825;0.6184449341652019;7.805375223324369;1.1542696564366897;0.3642886823349319;0.6250555885414507;8.743756948815292;12.620970424570348;1.8664065184635432;0.5890398032391698;1.6696448576871181;14.138295045811825;0.147881379614839;0.046671514425898224;0.13229132162743004;0.08008014613745049;0.8945772751916863;0.5415160877320822;7.575142342221727;0.6053318173279646;8.467845710252988;13.988766933863594;Train;$< 3$;$2 < d \leq 5$;1
division_1_size_2.5;1.0;0.7283045249056076;0.1419615846593059;0.5560005315438089;1.8702661095649131;0.9482733426732516;0.6714736409067342;0.1203064849744711;0.0;1.0;-0.31703601480817684;1.3730520212401613;-1.95219878854914;7.044159181513108;-0.5869860287179669;1.7985594316310596;0.6260807253223264;0.5346832704104517;-0.053112482134776096;1.0545482562875037;-0.3982805178373554;1.4892617357989442;-2.1177127507672093;8.312103875466056;1.3730520212401613;7.044159181513108;1.7985594316310596;0.5346832704104517;1.4892617357989442;8.312103875466056;5.130293006051378;1.3098989723685586;0.38941224523126056;0.7680322667855074;6.053742863987365;0.25532634701828577;0.0759044843582879;0.14970534156228188;0.21141795598648666;0.5863293910344489;0.8280303167120685;4.621534173006481;1.4122272043214337;7.882146526635485;5.581358652854168;Train;$< 2.5$;$2 < d \leq 5$;1
division_1_size_2;1.0;0.7501454275343038;0.119298291983348;0.5091237631971428;1.869443719517652;0.9399421180580856;0.6760306627325425;0.0898721486838064;0.0;1.0;-0.2874881878695396;1.333074845616213;-2.1261282669686183;8.382349683091714;-0.6750641422880205;1.9641589575790046;0.6256409104179067;0.5349184838033085;-0.061936982147951576;1.0638952982189942;-0.3915168448960561;1.479222844653171;-2.4093671887982175;11.126917678559797;1.333074845616213;8.382349683091714;1.9641589575790046;0.5349184838033085;1.479222844653171;11.126917678559797;6.287981286764871;1.473404860978435;0.40126665472863443;0.7980761933342231;8.346806419122242;0.23432080882296852;0.06381486146805691;0.12692089192664066;0.17646875882987262;0.5416543778770008;0.753107501277005;5.66497820129318;1.390383853683208;10.458658570243452;7.522137532407223;Train;$< 2$;$d \leq 2$;0
division_1_size_0.4;1.0000000000000002;0.8580530059738617;0.0934761681072657;0.5108440189248348;1.9515291740811276;0.9470506801853952;0.7463145429286888;0.0698939567962252;2.2204460492503128e-16;0.9999999999999998;-0.15308940287807488;1.165429167007035;-2.370048761729902;10.697913920182103;-0.6716909820981329;1.9575446965292536;0.6686132570943665;0.512418678276151;-0.05440267066477171;1.0559097004230433;-0.29260812832865735;1.3399176117830938;-2.660776088469446;14.30738859033958;1.1654291670070351;10.697913920182105;1.957544696529254;0.5124186782761511;1.3399176117830942;14.307388590339583;9.179377196861871;1.679677111185117;0.43968238721200453;0.906026492484952;12.276497787577007;0.18298377713025493;0.04789893451184439;0.09870239266283695;0.12525036392892244;0.5394051549858258;0.6844888978314422;7.308843887808397;1.2689698856315692;13.549822096157861;10.677812176302421;Train;$< 0.4$;$d \leq 2$;0
division_1_size_0.2;1.0;0.4129122705665711;0.0366181614425768;0.3110069185322309;1.449530432009148;0.9101352302605372;0.3677721950651255;0.0322493771733139;0.0;1.0;-0.8845201285210775;2.4218219493159303;-3.3072109473703546;27.30885332864573;-1.1679401209659996;3.215362554374706;0.3712396639912979;0.689878582689659;-0.09416208582991425;1.0987378213166608;-1.0002915676436888;2.7190745070407485;-3.4342565483822263;31.008350785375537;2.4218219493159303;27.30885332864573;3.215362554374706;0.689878582689659;2.7190745070407485;31.008350785375537;11.27616063450057;1.3276626530215898;0.284859331993635;0.45368232855722984;12.803728529314132;0.11774066511250911;0.025262085316706;0.04023375892403858;0.09956750927321305;0.34171506408251157;0.8456509836942879;9.643811626526128;2.474725502561088;28.221792482047274;11.404009233686969;Train;$< 0.2$;$d \leq 2$;0
division_2_size_bulk;0.4230265877273844;1.0000000000000002;0.0005714822854906;0.4687212422681026;1.4235980700128752;0.4188344001201409;0.997125770082705;0.0023091774789174;-0.8603202467636802;2.3639176094634524;2.2204460492503128e-16;0.9999999999999998;-7.467277071726696;1749.8355161464553;-0.757747053407542;2.1334642209964376;0.3531875189441274;0.7024454591954847;-0.8702796636261327;2.387578479019761;-0.0028783684480653813;1.002882514927938;-6.0708638875890415;433.05463054698805;0.4230265877273843;740.2269474796213;0.9025120894465853;0.2971531056680615;0.42424596818142324;183.19362265983548;1749.8355161464556;2.133464220996438;0.702445459195485;2.3875784790197616;433.05463054698816;0.0012192370090274667;0.00040143513645352964;0.0013644588059783837;0.0005731295917095788;1.1191087506987292;0.470072338245982;202.98190439993846;0.42004169653082113;181.37817640439698;431.8099319720468;Train;$> 0$;$d > 5$;2
division_2_size_5;0.381564379349626;0.9842123920777208;0.0003587053921149;0.435523857660525;1.3661354768194616;0.3736641799099349;0.981852004381734;0.004315235938456;-0.9634756892848177;2.620789712353374;-0.015913559613755405;1.0160408546461712;-7.9330091411584815;2787.803088501333;-0.8312057019615406;2.296085466756367;0.31198593399029817;0.7319918243600028;-0.9843977996137867;2.6761997905205477;-0.018314690354224814;1.0184834328771306;-5.44560327727274;231.73703924003792;0.38768499809692986;1063.7263552129816;0.8761044260565894;0.27930200615092493;0.3886169989436388;88.422599549945;2743.790346375555;2.259835769651174;0.7204354244346932;2.6339489975061237;228.07846572344639;0.0008236182376821659;0.0002625694143819558;0.0009599672952364863;0.0003653354991527206;1.1655488566377978;0.4435738336499823;100.92700929264977;0.38057077669788825;86.59183072238517;227.5314764673198;Test;$< 5$;$2 < d \leq 5$;1
division_2_size_3;1.0;0.5817850295446401;0.0584770880314663;0.2919212737090671;1.6402621175761063;0.8848049830619341;0.5679186046830758;0.04614164960571;0.0;1.0;-0.5416542645263429;1.718847940763781;-2.8391202590439617;17.10071471859036;-1.2312711236507097;3.4255811071741697;0.49485605685531525;0.6096586571649584;-0.12238801637873416;1.1301925499327827;-0.5657771721439463;1.7608157080151392;-3.076039274692919;21.6723937818697;1.718847940763781;17.10071471859036;3.4255811071741697;0.6096586571649584;1.7608157080151392;21.6723937818697;9.948939817789554;1.9929518056448852;0.3546902798708609;0.6575291060537761;12.608674256688138;0.20031800796315172;0.0356510629641808;0.06609036923492671;0.10296737516478996;0.3299272487128764;0.5140195642507123;6.3266327971278695;1.5579785127055228;19.175842013078785;12.308155636741608;Test;$< 3$;$2 < d \leq 5$;1
