;$I_{2928}$;$I_{3355}$;$I_{3725}$;$\overline{I}_{3800\text{–}2500}$;$\Sigma I_{p,\ 3800\text{–}2500}$;$\overline{I}_{2928 \pm 50}$;$\overline{I}_{3355 \pm 50}$;$\overline{I}_{3725 \pm 50}$;Split;Fraction_hue;Fraction_grouped_hue;Class
division_1_size_bulk;0.4917195724711886;1.0;0.0889566624490072;0.5262011624290981;1.5806762349201957;0.49444288693730865;0.9822423073841189;0.07596385997482982;Train;$> 0$;$d > 5$;2
division_1_size_5;0.4069366353059991;1.0;0.0285251930811068;0.4779091772099712;1.435461828387106;0.39698929159176105;0.9824717331889186;0.0357645686458492;Train;$< 5$;$2 < d \leq 5$;1
division_1_size_3;0.6184449341652019;1.0;0.0792332099957395;0.5357889560004412;1.6976781441609414;0.5817334167271435;0.9815907366028092;0.0677098119551096;Train;$< 3$;$2 < d \leq 5$;1
division_1_size_2.5;1.0;0.7283045249056076;0.1419615846593059;0.5560005315438089;1.8702661095649133;0.9006440533604589;0.6612001528199729;0.1109871896813163;Train;$< 2.5$;$2 < d \leq 5$;1
division_1_size_2;1.0;0.7501454275343038;0.119298291983348;0.5091237631971428;1.8694437195176519;0.8830913810098946;0.6664854909693388;0.07758570625955984;Train;$< 2$;$d \leq 2$;0
division_1_size_0.4;1.0000000000000002;0.7370333065542839;0.0934761681072657;0.5108440189248348;1.8305094746615498;0.8925717616850501;0.7319600721346033;0.06606200222660735;Test;$< 0.4$;$d \leq 2$;0
division_1_size_0.2;1.0;0.3618943163332342;0.0366181614425768;0.31100691853223095;1.3985124777758111;0.824053635017073;0.3626061956953762;0.029037618071551415;Test;$< 0.2$;$d \leq 2$;0
division_2_size_bulk;0.4230265877273844;1.0000000000000002;0.0005714822854906;0.4687212422681026;1.4235980700128752;0.4151317474873783;0.9936190632964995;0.007717719232603869;Train;$> 0$;$d > 5$;2
division_2_size_5;0.381564379349626;1.0;0.0003587053921149;0.435523857660525;1.3819230847417407;0.36610202594686203;0.9795271657562843;0.009969505463174398;Test;$< 5$;$2 < d \leq 5$;1
division_2_size_3;1.0;0.5817850295446401;0.0584770880314663;0.2919212737090671;1.6402621175761063;0.7762236550505488;0.5654216614196138;0.04205176332439621;Test;$< 3$;$2 < d \leq 5$;1
division_2_size_2.5;1.0;0.3598341175295755;0.0783771963712082;0.27909425115745845;1.4382113139007837;0.8042391886734571;0.3235036956231898;0.06163414033217173;Train;$< 2.5$;$2 < d \leq 5$;1
division_2_size_2;1.0000000000000002;0.493965056454232;0.0715591818471227;0.23603118858868918;1.5655242383013548;0.7862469113353144;0.42639399839711095;0.045317147679629494;Train;$< 2$;$d \leq 2$;0
