;$\overline{I}_{3800\text{–}2500}$;$I_{3375}$;$\overline{I}_{3375 \pm 32}$;$I_{3293}$;$\overline{I}_{3293 \pm 32}$;$I_{2928}$;$\overline{I}_{2928 \pm 32}$;$\overline{I}_{1800\text{–}900}$;$\overline{I}_{1800\text{–}1500}$;$I_{1722}$;$\overline{I}_{1722 \pm 32}$;$I_{1626}$;$\overline{I}_{1626 \pm 32}$;$I_{1550}$;$\overline{I}_{1550 \pm 32}$;$\overline{I}_{1500\text{–}1300}$;$I_{1396}$;$\overline{I}_{1396 \pm 32}$;$\overline{I}_{1300\text{–}900}$;$I_{1240}$;$\overline{I}_{1240 \pm 32}$;$I_{1155}$;$\overline{I}_{1155 \pm 32}$;$I_{1074}$;$\overline{I}_{1074 \pm 32}$;$I_{877}$;$\overline{I}_{877 \pm 32}$;$\Sigma I_{p,\ 3800\text{–}2500}$;$\Sigma I_{p,\ 1800\text{–}900}$;$\Sigma I_{p,\ 1800\text{–}1500}$;$\Sigma I_{p,\ 1500\text{–}1300}$;$\Sigma I_{p,\ 1300\text{–}900}$
division_1_size_bulk;0.5262011624290981;0.9812066037139324;0.9759804242342395;1.0;0.9636852485779936;0.4917195724711886;0.4920785408851464;0.5043663865449453;0.537704544551603;0.4265300311218395;0.4221442418467753;1.0;0.925096352993264;0.4219877990622949;0.45378088539002254;0.5717349237312612;0.7605815648522337;0.7261423050542098;0.4457797495867812;0.4527649765702493;0.4436616694667781;0.4727916964095042;0.4795276110937601;0.6812942842454955;0.6657710064643454;0.048778993239059;0.0492580756800281;2.472926176185121;4.2159503522616175;1.8485178301841345;0.7605815648522337;1.606850957225249
division_1_size_5;0.4779091772099712;1.0;0.995136163271156;0.9250903281384012;0.9232259612816595;0.4069366353059991;0.40113534794705846;0.45148733476733494;0.4970358594714015;0.3875415821171469;0.38320600237598057;1.0;0.9227857223279821;0.3570847600530079;0.39076105285973245;0.5023682762038904;0.6874582996441091;0.6560201650267031;0.3919742117303926;0.4267561241154206;0.4231413926261219;0.4973971813090734;0.4987007733483379;0.6061377803272061;0.5365870860794093;0.0934748373007324;0.09586934577592926;2.3320269634444;3.962375727565964;1.7446263421701547;0.6874582996441091;1.5302910857517
division_1_size_3;0.5357889560004412;1.0;0.9858161585399603;0.9375380982948154;0.9357692065549742;0.6184449341652019;0.5989297636536034;0.5170028286617913;0.5490053568017342;0.3750766179948009;0.38117405326218123;1.0;0.9382246583985571;0.5220554900563131;0.5426024015735141;0.5235127037362757;0.6965534243649516;0.6686768646772707;0.48977311687398356;0.4002460282841498;0.4026813409332578;0.6832920778539893;0.6762519994752278;0.8361756136769954;0.7316841739473101;0.1179726617727755;0.12039437111590284;2.5559830324600172;4.5133992522312;1.897132108051114;0.6965534243649516;1.9197137198151344
division_1_size_2.5;0.5560005315438089;0.6260316457811546;0.6314598731665756;0.7283045249056076;0.7183132727851366;1.0;0.9482733426732516;0.5947408567594684;0.741993389925332;0.55542400203804;0.5740906669144266;1.0;0.9552606315409916;0.8704839461723776;0.8492081934860977;0.6765318314210785;0.8012994748133334;0.7806840602222278;0.4435932192425114;0.4138394454830428;0.41039322955429947;0.4978358774468415;0.49473291012726034;0.6425763781276795;0.6214424140280843;0.1165173485783258;0.11135235410438485;2.354336170686762;4.781459124081315;2.4259079482104173;0.8012994748133334;1.5542517010575638
division_1_size_2;0.5091237631971428;0.6206182283562105;0.6312570780098677;0.7501454275343038;0.7397086056982612;1.0;0.9399421180580857;0.5475795577898329;0.7053274138147032;0.5180830943316848;0.5464125213667179;1.0;0.9138002602826347;0.814970351281799;0.7893222190151011;0.620859405827844;0.7460280809035063;0.7253995699987111;0.3928120595546437;0.3637736529397924;0.36207934612950743;0.4378711074310592;0.4394670134756508;0.5924463771233945;0.5804369044192627;0.0564459671712504;0.05627892179558813;2.3707636558905145;4.473172664011236;2.3330534456134835;0.7460280809035063;1.3940911374942462
division_1_size_0.4;0.5108440189248348;0.6742942727327258;0.6803639034114535;0.8580530059738617;0.8393171575299037;1.0000000000000002;0.9470506801853952;0.48242203458170985;0.5935437990300777;0.393822488264588;0.417493660811337;1.0;0.8582657953020502;0.7255547081259642;0.6866253653439391;0.5233346310917918;0.6512260344953517;0.6290244752111457;0.37874064609730207;0.3445999221860507;0.35379320801793557;0.4240713240516169;0.42492684250443397;0.6155492179012886;0.5911939166002314;0.0248974729952362;0.03266517608191212;2.5323472787065877;4.15482369502486;2.1193771963905523;0.6512260344953517;1.3842204641389562
division_1_size_0.2;0.31100691853223095;0.3452323953093671;0.34351694784750925;0.4129122705665711;0.40515907473094936;1.0;0.9101352302605373;0.5499684265421576;0.6081652013757437;0.4105316820948786;0.4256687433500299;0.9713160043812308;0.9330651171339556;0.684793628218959;0.6914080826807667;0.7436130913452931;1.0;0.9611923358766573;0.40976687813855633;0.359995174780261;0.3566325254124147;0.6778440031667329;0.5508105797090385;0.5767806771309689;0.5834260454704464;0.034716310373048;0.044082009114602985;1.758144665875938;4.681261169773032;2.0666413146950684;1.0;1.614619855077963
division_2_size_bulk;0.4687212422681026;1.0000000000000002;0.9941339198528406;0.9784468542630724;0.9769166232690952;0.4230265877273844;0.4188344001201409;0.5792117284044023;0.47976251236563705;0.4584883580987662;0.432943119545258;0.8802664257285636;0.7851006684069567;0.4096726631417874;0.43642771332689195;0.6911462801483138;0.8977538280390738;0.865882967334821;0.5979063163009458;0.6643366731417005;0.6532811744275918;0.6263609637131826;0.6428070648118518;1.0;0.9514068708874572;0.0530700759609861;0.061058974288646976;2.401473441990457;4.936878911863074;1.7484274469691172;0.8977538280390738;2.2906976368548833
division_2_size_5;0.435523857660525;1.0;0.993696041197951;0.9139435411799466;0.913921511273821;0.381564379349626;0.37366417990993495;0.6399417993509874;0.5335129614415349;0.4428328531213316;0.426555633573642;0.9593949118516434;0.875488136612277;0.5156352015043837;0.53855441708609;0.7053634485058852;0.8921187411519494;0.8558565902620885;0.6870673107118919;0.7377711324433895;0.7276352203033951;0.7154259782957344;0.7299909714846717;1.0;0.9608687436062718;0.2870088799650342;0.2919213394385513;2.2955079205295723;5.2631788183684325;1.9178629664773585;0.8921187411519494;2.453197110739124
division_2_size_3;0.2919212737090671;0.5817850295446401;0.571762806295791;0.5293272319410955;0.5291181058896662;1.0;0.8848049830619341;0.5701788288788201;0.4279124388160218;0.3548371335564465;0.34786792666331234;0.6537227108518787;0.6245683568864154;0.4618120389021384;0.46669292703495546;0.5301362444466734;0.6328835140503941;0.6151609556805817;0.6967659669197466;0.5541934194013831;0.5600965477629117;0.7884438549425365;0.7903207012544663;1.0;0.9593956312151111;0.4951319650820452;0.5034579014957974;2.1111122614857356;4.445892671704778;1.4703718833104635;0.6328835140503941;2.34263727434392
